Location,Grade,Minimum,Maximum
London,AO,21412,23230
London,EO,25503,29795
London,HEO,30351,35350
London,SEO,36057,44440
London,Grade 7,49339,58075
London,Grade 6,59641,70195
National,AO,18584,21210
National,EO,22927,27270
National,HEO,27523,31058
National,SEO,33128,41410
National,Grade 7,44238,53530
National,Grade 6,55045,64135
