Location,Grade,Minimum,Maximum
London,AO,21733,23578
London,EO,25886,30242
London,HEO,30806,35880
London,SEO,36598,45107
London,Grade 7,50079,58946
London,Grade 6,60536,71248
National,AO,18863,21528
National,EO,23271,27679
National,HEO,27936,31524
National,SEO,33625,42031
National,Grade 7,44902,54333
National,Grade 6,55871,65097
